day,hour,WindDir,WindSpeed,Vis,AirTemp,Dwpt,RelHumid,alt,sealvl,precip
345,18,180,5,10,50,35,57%,30.05,30.05,0
345,17,225,5,10,57,34,42%,30.05,30.05,0
345,16,270,12,10,62,31,31%,30.06,30.06,0
345,15,225,14,10,64,31,29%,30.06,30.06,0
345,14,270,16,10,64,30,28%,30.07,30.07,0
345,13,225,12,10,62,33,34%,30.09,30.09,0
345,10,270,6,10,53,31,43%,30.22,30.22,0
345,9,0,0,10,45,34,66%,30.23,30.23,0
345,8,0,0,10,35,31,85%,30.23,30.24,0
345,7,0,0,10,29,28,96%,30.23,30.23,0
345,6,0,0,10,29,27,92%,30.23,30.23,0
345,5,0,0,10,28,27,96%,30.22,30.22,0
345,4,0,0,10,29,27,92%,30.22,30.22,0
345,3,0,0,10,29,28,96%,30.24,30.24,0
345,2,225,3,10,29,28,96%,30.26,30.26,0
345,1,0,0,10,31,27,85%,30.26,30.27,0
345,0,315,5,10,32,26,79%,30.27,30.27,0
344,23,270,5,10,35,27,72%,30.28,30.28,0
344,22,270,6,10,37,27,67%,30.28,30.28,0
344,21,270,7,10,35,27,72%,30.27,30.27,0
344,20,270,6,10,32,27,82%,30.26,30.27,0
344,19,270,5,10,36,28,73%,30.26,30.26,0
344,18,270,3,10,40,27,60%,30.24,30.25,0
344,17,270,5,10,44,23,43%,30.24,30.24,0
344,16,270,7,10,49,21,33%,30.24,30.24,0
344,15,270,10,10,50,21,32%,30.23,30.24,0
344,14,270,7,10,51,22,32%,30.24,30.24,0
344,13,315,10,10,49,22,35%,30.26,30.25,0
344,12,315,9,10,47,23,39%,30.28,30.28,0
344,11,270,9,10,44,25,47%,30.31,30.31,0
344,10,315,10,10,41,23,49%,30.32,30.32,0
344,9,315,5,10,37,26,65%,30.32,30.32,0
344,8,270,8,10,32,26,79%,30.31,30.31,0
344,7,270,5,10,28,25,88%,30.3,30.3,0
344,6,270,6,10,28,24,85%,30.28,30.28,0
344,5,270,6,10,28,25,88%,30.27,30.27,0
344,4,270,7,10,29,26,89%,30.25,30.25,0
344,3,270,8,10,30,27,88%,30.23,30.23,0
344,2,270,8,10,30,27,88%,30.21,30.21,0
344,1,270,7,10,30,27,88%,30.19,30.19,0
344,0,270,8,10,32,27,82%,30.18,30.18,0
343,23,270,10,10,34,27,76%,30.16,30.16,0
343,22,270,9,10,34,27,76%,30.15,30.15,0
343,21,270,8,10,34,26,73%,30.13,30.13,0
343,20,0,0,10,34,25,70%,30.11,30.11,0
343,19,270,7,10,36,25,64%,30.09,30.09,0
343,18,270,8,10,37,25,62%,30.07,30.07,0
343,17,270,10,10,40,23,51%,30.02,30.02,0
343,16,270,9,10,44,23,43%,29.98,29.98,0
343,15,270,13,10,46,24,42%,29.97,29.97,0
343,14,270,14,10,46,27,47%,29.97,29.97,0
343,13,270,,10,42,34,73%,29.97,29.97,0
343,12,315,,10,39,35,86%,29.97,29.97,0
343,11,270,,10,39,36,89%,29.98,29.97,0
343,10,270,,10,38,36,93%,29.97,29.97,0.01
343,9,315,,7,38,36,93%,29.97,29.97,0.01
343,8,315,,2,39,38,96%,29.94,29.94,0
343,7,315,,6,40,39,97%,29.93,29.92,0.01
343,6,270,,10,40,39,97%,29.93,29.92,0
343,5,0,,9,40,38,93%,29.92,29.92,0
343,4,360,,6,40,39,97%,29.9,29.9,0
343,3,360,,10,40,39,97%,29.93,29.93,0
343,2,315,,10,40,39,97%,29.93,29.93,0
343,1,380,,10,40,39,97%,29.9,29.9,0
343,0,360,,10,40,39,97%,29.9,29.9,0
342,23,360,,10,40,39,97%,29.91,29.92,0
342,22,45,,10,41,39,93%,29.92,29.92,0
342,21,45,,10,41,40,96%,29.91,29.9,0.01
342,20,360,,10,41,40,96%,29.92,29.91,0.01
342,19,360,,10,42,41,96%,29.95,29.94,0
